,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Percent Fatalities,Survivors,Year,Month,Day,DayOfWeek,DayOfYear
93,1925-06-26,,"Alicante, Spain",Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,,2.0,2.0,0.0,nan,100.0,0.0,1925,6,26,4,177
94,1925-07-20,,"Rosas, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1.0,1.0,0.0,nan,100.0,0.0,1925,7,20,0,201
95,1925-07-24,,"Budapest, Hungary",CIDNA,,,Potez IX,,,1.0,1.0,0.0,nan,100.0,0.0,1925,7,24,4,205
96,1925-09-03,05:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43.0,14.0,0.0,shenandoah flying southern ohio abruptly encountered violent atmosphericonditions thunderstorms powerful air currents buffeted severely crew unable maintain control rising rapidly pressure height falling rising hull structure overstressed amidships breaking airship two shenandoah external control car two engine cars fell free carrying dirigible commanding officer several men deaths stern section came nearby several men able fly bow section ground free balloon,32.55813953488372,29.0,1925,9,3,3,246
97,1925-09-07,,"Toul, France",CIDNA,,,,,,3.0,3.0,0.0,nan,100.0,0.0,1925,9,7,0,250
98,1925-11-14,,"Off Boulogne-sur-Mer, France",Air Union,,,Farman F-60 Goliath,F-AMFY,,2.0,2.0,0.0,nan,100.0,0.0,1925,11,14,5,318
99,1926-02-12,,"Montpelier, Ohio",US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1.0,1.0,0.0,nan,100.0,0.0,1926,2,12,4,43
100,1926-03-08,,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,,,1.0,1.0,0.0,nan,100.0,0.0,1926,3,8,0,67
101,1926-05-31,,English Channel,Air Union,,,Breguet 14,F-ADAI,,1.0,1.0,0.0,nan,100.0,0.0,1926,5,31,0,151
102,1926-07-03,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7.0,7.0,0.0,crashed en route,100.0,0.0,1926,7,3,5,184
103,1926-07-09,,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,4759,2.0,2.0,0.0,nan,100.0,0.0,1926,7,9,4,190
104,1926-07-24,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,D-272,660,4.0,4.0,0.0,weather related,100.0,0.0,1926,7,24,5,205
105,1926-08-18,,"Hurst, Kent, England",Air Union,,,Bleriot 155,F-AIEB,2,4.0,4.0,0.0,crashed adverse weather conditions engine failure,100.0,0.0,1926,8,18,2,230
106,1926-09-26,,"New York, New York",,,New York - Paris,Sikorsky S-25,,,5.0,2.0,0.0,much weight caused landing gear collapse plane took paris first trans atlantipassenger flight,40.0,3.0,1926,9,26,6,269
107,1926-10-08,,"Bueren, Germany",Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4.0,4.0,0.0,weather related,100.0,0.0,1926,10,8,4,281
108,1926-10-21,13:15,English Channel,Imperial Airways,,,Handley Page W-10,G-EBMS,W10/3,12.0,0.0,0.0,plane flight london paris power lost starboard engine aircraft began lose altitude eventually ditched sea 18 miles english coast plane stayed afloat long enough fishing boat invicta piloted captain marshall rescue aboard plane named prince henry,0.0,12.0,1926,10,21,3,294
109,1926-11-11,,"Cape Bojador, Morocco",Grands Express Aeriens,,,Breguet 14,,,3.0,3.0,0.0,nan,100.0,0.0,1926,11,11,3,315
110,1926-12-16,,"Medford, Oregon",PacifiAir Transport,,,Ryan M-1,2,,1.0,1.0,0.0,nan,100.0,0.0,1926,12,16,3,350
111,1927-01-12,,"Lille, France",KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,,2.0,2.0,0.0,nan,100.0,0.0,1927,1,12,2,12
112,1927-03-20,,"Rabat, Morocco",Grands Express Aeriens,,,Breguet 14,F-ALRA,,1.0,1.0,0.0,nan,100.0,0.0,1927,3,20,6,79
113,1927-03-24,,"Tambo, Qld, Australia",Qantas,,,de Havilland DH-9C,G-AUED,86,3.0,3.0,0.0,stalled low altitiude approach land,100.0,0.0,1927,3,24,3,83
114,1927-04-15,,"King Hill, Idaho",Varney Air Lines,,,,,,1.0,1.0,0.0,crashed unsuccessful attempt fly strong headwinds engine quit plane nosedived ground,100.0,0.0,1927,4,15,4,105
115,1927-04-22,,"Goshen, Indiana",US Aerial Mail Service,,,Douglas M-4,626,,1.0,1.0,0.0,nan,100.0,0.0,1927,4,22,4,112
116,1927-04-22,,"Floh, Germany",Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2.0,2.0,0.0,engine failure,100.0,0.0,1927,4,22,4,112
117,1927-05-02,,"Algiers, Algeria",Air Union,,,SPCA Meteore 63,,,3.0,1.0,0.0,nan,33.33333333333333,2.0,1927,5,2,0,122
118,1927-07-27,,"Amoneburg, Germany",Deutsche Lufthansa,,,Junkers F-13,D-206,591,5.0,5.0,0.0,engine failure,100.0,0.0,1927,7,27,2,208
119,1927-08-22,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11.0,1.0,0.0,broken wire led partial loss rudder crash landing resulted aircraft striking tree killing flight engineer,9.090909090909092,10.0,1927,8,22,0,234
120,1927-09-03,,"Willington, Connecticut",Colonial Air Transport,,,Fokker Universal,,,1.0,1.0,0.0,nan,100.0,0.0,1927,9,3,5,246
121,1927-09-17,,"Hadley, New Jersey",Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12.0,7.0,0.0,sightseeing plane took rose 400 ft engine failed plane stalled plunged ground apple orchard engine failure pilot familiar type aircraft,58.333333333333336,5.0,1927,9,17,5,260
122,1927-09-22,,"Saale, Germany",Deutsche Lufthansa,,,BFW M-18,D-1177,30,4.0,2.0,0.0,engine failure,50.0,2.0,1927,9,22,3,265
123,1927-09-23,10:00,"Schleiz, Germany",Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6.0,6.0,0.0,broken wing strut,100.0,0.0,1927,9,23,4,266
124,1927-10-06,,"Thies, Mauritania",Lignes Aeriennes Latecoere,,,Breguet 14,F-AGBN,,2.0,2.0,0.0,nan,100.0,0.0,1927,10,6,3,279
125,1927-10-30,,"New Brunswick, New Jersey",Colonial Air Transport,,,Fairchild FC-2,,,4.0,4.0,0.0,went tailspin crashed corn field,100.0,0.0,1927,10,30,6,303
126,1927-11-16,,"Strasburg, France",CIDNA,,,Farman F-121 Jabiru,,,1.0,1.0,0.0,nan,100.0,0.0,1927,11,16,2,320
127,1927-11-16,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALD,798,6.0,6.0,0.0,nan,100.0,0.0,1927,11,16,2,320
128,1927-11-29,,"Corunna, Indiana",National Air Transport,,,Douglas M-4,,,1.0,1.0,0.0,nan,100.0,0.0,1927,11,29,1,333
129,1927-12-26,,"Almeria, Spain",Aeropostale,,,Breguet 14,,,2.0,2.0,0.0,nan,100.0,0.0,1927,12,26,0,360
130,1927-12-28,,"Abuerio, Spain",Aeropostale,,,Breguet 14,F-AFGS,,1.0,1.0,0.0,nan,100.0,0.0,1927,12,28,2,362
131,1927-12-31,,France,Latecoere Airlines,,,Latécoère 23,,,4.0,4.0,0.0,nan,100.0,0.0,1927,12,31,5,365
132,1928-01-08,,"Near Canajoharie, New York",Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3.0,3.0,0.0,became lost dense fog flew ground mohawk valley proceeding buffalo,100.0,0.0,1928,1,8,6,8
133,1928-01-16,,"Solis, Uruguay",Aeropostale,,,Latecoere 25,,,2.0,2.0,0.0,nan,100.0,0.0,1928,1,16,0,16
134,1928-01-22,,"Tarragona, Spain",Aeropostale,,,Breguet 14,F-AHEQ,,2.0,2.0,0.0,nan,100.0,0.0,1928,1,22,6,22
135,1928-01-22,,France,Aeropostale,,,Breguet 14,,,2.0,1.0,0.0,nan,50.0,1.0,1928,1,22,6,22
136,1928-01-27,,"Almeria, Spain",Aeropostale,,,Breguet 14,F-AEEH,,1.0,1.0,0.0,nan,100.0,0.0,1928,1,27,4,27
137,1928-02-26,,"Marquette, Nebraska",Boeing Air Transport,,,Boeing 40,NC280,,2.0,1.0,0.0,air mail plane crashed grove cottonwood trees burned businessman f h craig killed pilot frank yegar injured pilot descended altitude due air pockets plane ran air pocket brought plane grove trees,50.0,1.0,1928,2,26,6,57
138,1928-03-03,,"Rio de Janeiro, Brazil",,,,,,,10.0,10.0,0.0,nan,100.0,0.0,1928,3,3,5,63
139,1928-03-11,,"Off Cape Griz Nez, France",Air Union,,,Farman F-60 Goliath,F-AEFC,,2.0,2.0,0.0,nan,100.0,0.0,1928,3,11,6,71
140,1928-04-17,,"Federal, Wyoming",Boeing Air Transport,,,Boeing 40,,,2.0,1.0,0.0,nan,50.0,1.0,1928,4,17,1,108
141,1928-04-19,,"Minuesa, Spain",Iberia Airlines,,,Rohrbach Roland,M-CCCC,,9.0,9.0,0.0,crashed fog,100.0,0.0,1928,4,19,3,110
142,1928-05-07,,,Aeropostale,,,Latecoere 26,F-AIMQ,,1.0,1.0,0.0,nan,100.0,0.0,1928,5,7,0,128
143,1928-05-12,,"Dearborn, Minnesota",Ford Air Freight Inc.,,,Ford 4,NC1492,,2.0,2.0,0.0,nan,100.0,0.0,1928,5,12,5,133
144,1928-05-26,,"Radevormwald, Germany",Deutsche Lufthansa,,,Junkers F-13,D-583,742,5.0,3.0,0.0,pilot error,60.0,2.0,1928,5,26,5,147
145,1928-06-14,,"Frankfurt, Germany",Deutsche Lufthansa,,,AEGK,D-74,439,5.0,5.0,0.0,nan,100.0,0.0,1928,6,14,3,166
146,1928-06-22,,"Lebo, Kansas",National Air Transport,,Chicago - Dallas,Douglas M-4,,,1.0,1.0,0.0,mail plane flew tornado like winds crashed ground,100.0,0.0,1928,6,22,4,174
147,1928-07-10,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALB,760,6.0,6.0,0.0,nan,100.0,0.0,1928,7,10,1,192
148,1928-07-13,,"Purley, England",Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4.0,4.0,0.0,crashed ground shortly taking killing two men two women,100.0,0.0,1928,7,13,4,195
149,1928-07-24,,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),1.0,1.0,0.0,plane crashed waalhaven harbor,100.0,0.0,1928,7,24,1,206
150,1928-08-25,,"Near Port Townsend, BC, Canada",British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,7.0,0.0,crashed puget sound dense fog considered first canadian air disaster,100.0,0.0,1928,8,25,5,238
